
港澳台,#genre#
澳门有线 CH1,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线 CH3,http://202.175.127.77/live/show/ch3/index.m3u8
澳门有线互动新闻,http://202.175.127.77/live/show/ch2/index.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd澳门莲花,https://cntv.sbs/tv/lhws.php
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门葡语,http://61.244.22.5/ch2/ch2.live/chunklist_w1632175875.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
纬来体育,http://50.7.238.114:8278/videolandsport/playlist.m3u8?tid=MD2D5343800653438006&ct=19234&tsum=1be724fb8246abfedaf2bd088ec98f03
翡翠,https://epg.pw/stream/1fbab856b95f1ee5eed372ecef4a3c30b658c4e39a73734f0292ce7635ac0248.ctv
翡翠台,http://113.117.74.12:8081/hls/25/index.m3u8
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,https://epg.pw/stream/1fbab856b95f1ee5eed372ecef4a3c30b658c4e39a73734f0292ce7635ac0248.ctv
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
靖天卡通,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
靖天国际,http://198.16.100.90:8278/jingtianintl_twn/playlist.m3u8?tid=MC7C4153806141538061&ct=19254&tsum=79854f3ccdc23693ea39da52af54d35b
香港8K,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tW1782571424_-1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
香港J2频道,http://r.jdshipin.com/Nr5jq
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8
高清翡翠,http://113.117.74.20:8081/hls/25/index.m3u8
龙华偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d21bf37719ff
龙华偶像,http://50.7.238.114:8278/lunghuaidol_twn/playlist.m3u8?tid=MB3B9268047492680474&ct=19234&tsum=792a8d573313f22d3bd8670148df20cb
龙华偶像,http://50.7.238.114:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d21bf37719ff
龙华卡通,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=MEEE6701222267012222&ct=19226&tsum=c1da0f03bc493ce969726d15fc9c0286
龙华戏剧,http://50.7.238.114:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039

台湾,#genre#
ANIMAX 卡通动画频道,http://47.242.38.45:9999/twjd678-2.php?id=126
AXN,http://47.242.38.45:9999/twjd678-1.php?id=57
AXN,http://47.242.38.45:9999/twjd678-2.php?id=108
AXN,http://47.242.38.45:9999/twjd678-2.php?id=39
Bloomberg News,http://47.242.38.45:9999/twjd678-1.php?id=50
Bloomberg News,http://47.242.38.45:9999/twjd678-2.php?id=101
Bloomberg News,http://47.242.38.45:9999/twjd678-2.php?id=36
CINEMAX HD,http://47.242.38.45:9999/twjd678-1.php?id=58
CINEMAX HD,http://47.242.38.45:9999/twjd678-2.php?id=109
CINEMAX HD,http://47.242.38.45:9999/twjd678-2.php?id=40
CNBC,http://47.242.38.45:9999/twjd678-2.php?id=127
CNBC,http://47.242.38.45:9999/twjd678-2.php?id=4
DISCOVERY,http://47.242.38.45:9999/twjd678-1.php?id=10
DISCOVERY,http://47.242.38.45:9999/twjd678-2.php?id=17
DISCOVERY,http://47.242.38.45:9999/twjd678-2.php?id=61
ELEVEN SPORTS 1 HD,http://47.242.38.45:9999/twjd678-1.php?id=65
ELEVEN SPORTS 1 HD,http://47.242.38.45:9999/twjd678-2.php?id=116
ELEVEN SPORTS 1 HD,http://47.242.38.45:9999/twjd678-2.php?id=129
ELEVEN SPORTS 1 HD,http://47.242.38.45:9999/twjd678-2.php?id=6
ELEVEN SPORTS 2 HD,http://47.242.38.45:9999/twjd678-1.php?id=66
ELEVEN SPORTS 2 HD,http://47.242.38.45:9999/twjd678-2.php?id=117
ELEVEN SPORTS 2 HD,http://47.242.38.45:9999/twjd678-2.php?id=130
ELEVEN SPORTS 2 HD,http://47.242.38.45:9999/twjd678-2.php?id=7
FOX MOVIES,http://47.242.38.45:9999/twjd678-2.php?id=8
HBO,http://47.242.38.45:9999/twjd678-1.php?id=56
HBO,http://47.242.38.45:9999/twjd678-2.php?id=107
HBO,http://47.242.38.45:9999/twjd678-2.php?id=5
MTV Live音乐频道,http://47.242.38.45:9999/twjd678-2.php?id=49
MUCH TV,http://47.242.38.45:9999/twjd678-1.php?id=28
MUCH TV,http://47.242.38.45:9999/twjd678-2.php?id=28
MUCH TV,http://47.242.38.45:9999/twjd678-2.php?id=79
NHK世界HD,http://47.242.38.45:9999/twjd678-1.php?id=51
NHK世界HD,http://47.242.38.45:9999/twjd678-2.php?id=102
NHK世界HD,http://47.242.38.45:9999/twjd678-2.php?id=37
STAR MOVIES GOLD,http://47.242.38.45:9999/twjd678-1.php?id=59
STAR MOVIES GOLD,http://47.242.38.45:9999/twjd678-2.php?id=110
STAR MOVIES GOLD,http://47.242.38.45:9999/twjd678-2.php?id=131
STAR MOVIES GOLD,http://47.242.38.45:9999/twjd678-2.php?id=41
Star World,http://47.242.38.45:9999/twjd678-1.php?id=60
Star World,http://47.242.38.45:9999/twjd678-2.php?id=1
Star World,http://47.242.38.45:9999/twjd678-2.php?id=111
Star World,http://47.242.38.45:9999/twjd678-2.php?id=128
Star World,http://47.242.38.45:9999/twjd678-2.php?id=45
TVBS HD,http://47.242.38.45:9999/twjd678-1.php?id=44
TVBS HD,http://47.242.38.45:9999/twjd678-2.php?id=95
TVBS新闻HD,http://47.242.38.45:9999/twjd678-1.php?id=43
TVBS新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=94
TVBS欢乐HD,http://47.242.38.45:9999/twjd678-1.php?id=31
TVBS欢乐HD,http://47.242.38.45:9999/twjd678-2.php?id=82
Taiwan Plus,http://47.242.38.45:9999/twjd678-1.php?id=37
Taiwan Plus,http://47.242.38.45:9999/twjd678-2.php?id=88
momo 综合台,http://47.242.38.45:9999/twjd678-1.php?id=64
momo 综合台,http://47.242.38.45:9999/twjd678-2.php?id=115
momo 综合台,http://47.242.38.45:9999/twjd678-2.php?id=44
momo亲子台,http://47.242.38.45:9999/twjd678-1.php?id=14
momo亲子台,http://47.242.38.45:9999/twjd678-2.php?id=20
momo亲子台,http://47.242.38.45:9999/twjd678-2.php?id=65
nickjr.小尼克,http://47.242.38.45:9999/twjd678-2.php?id=48
三立台湾,http://47.242.38.45:9999/twjd678-2.php?id=11
三立台湾HD,http://47.242.38.45:9999/twjd678-1.php?id=20
三立台湾HD,http://47.242.38.45:9999/twjd678-2.php?id=24
三立台湾HD,http://47.242.38.45:9999/twjd678-2.php?id=71
三立新闻,http://47.242.38.45:9999/twjd678-2.php?id=13
三立新闻HD,http://47.242.38.45:9999/twjd678-1.php?id=42
三立新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=32
三立新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=93
三立都会HD,http://47.242.38.45:9999/twjd678-1.php?id=21
三立都会HD,http://47.242.38.45:9999/twjd678-2.php?id=25
三立都会HD,http://47.242.38.45:9999/twjd678-2.php?id=72
东方卫视,http://47.242.38.45:9999/twjd678-2.php?id=122
东森幼幼HD,http://47.242.38.45:9999/twjd678-1.php?id=15
东森幼幼HD,http://47.242.38.45:9999/twjd678-2.php?id=21
东森幼幼HD,http://47.242.38.45:9999/twjd678-2.php?id=66
东森戏剧HD,http://47.242.38.45:9999/twjd678-1.php?id=29
东森戏剧HD,http://47.242.38.45:9999/twjd678-2.php?id=80
东森新闻HD,http://47.242.38.45:9999/twjd678-1.php?id=39
东森新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=30
东森新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=90
东森综合HD,http://47.242.38.45:9999/twjd678-1.php?id=23
东森综合HD,http://47.242.38.45:9999/twjd678-2.php?id=74
东森财经HD,http://47.242.38.45:9999/twjd678-1.php?id=47
东森财经HD,http://47.242.38.45:9999/twjd678-2.php?id=33
东森财经HD,http://47.242.38.45:9999/twjd678-2.php?id=98
东风卫视,http://47.242.38.45:9999/twjd678-1.php?id=27
东风卫视,http://47.242.38.45:9999/twjd678-2.php?id=78
中天娱乐HD,http://47.242.38.45:9999/twjd678-1.php?id=26
中天娱乐HD,http://47.242.38.45:9999/twjd678-2.php?id=27
中天娱乐HD,http://47.242.38.45:9999/twjd678-2.php?id=77
中天新闻,http://47.242.38.45:9999/twjd678-1.php?id=40
中天新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=31
中天新闻HD,http://47.242.38.45:9999/twjd678-2.php?id=91
中天综合HD,http://47.242.38.45:9999/twjd678-1.php?id=25
中天综合HD,http://47.242.38.45:9999/twjd678-2.php?id=76
中视HD,http://47.242.38.45:9999/twjd678-1.php?id=2
中视HD,http://47.242.38.45:9999/twjd678-2.php?id=54
亚洲旅游,http://47.242.38.45:9999/twjd678-1.php?id=13
亚洲旅游,http://47.242.38.45:9999/twjd678-2.php?id=64
人间卫视,http://47.242.38.45:9999/twjd678-1.php?id=6
人间卫视,http://47.242.38.45:9999/twjd678-2.php?id=2
人间卫视,http://47.242.38.45:9999/twjd678-2.php?id=58
八大戏剧HD,http://47.242.38.45:9999/twjd678-1.php?id=30
八大戏剧HD,http://47.242.38.45:9999/twjd678-2.php?id=81
八大第一HD,http://47.242.38.45:9999/twjd678-1.php?id=18
八大第一HD,http://47.242.38.45:9999/twjd678-2.php?id=3
八大第一HD,http://47.242.38.45:9999/twjd678-2.php?id=69
八大综合HD,http://47.242.38.45:9999/twjd678-1.php?id=19
八大综合HD,http://47.242.38.45:9999/twjd678-2.php?id=23
八大综合HD,http://47.242.38.45:9999/twjd678-2.php?id=70
公视,http://47.242.38.45:9999/twjd678-1.php?id=5
公视,http://47.242.38.45:9999/twjd678-2.php?id=57
动物星球,http://47.242.38.45:9999/twjd678-1.php?id=12
动物星球,http://47.242.38.45:9999/twjd678-2.php?id=19
动物星球,http://47.242.38.45:9999/twjd678-2.php?id=63
华视HD,http://47.242.38.45:9999/twjd678-1.php?id=3
华视HD,http://47.242.38.45:9999/twjd678-2.php?id=55
博斯运动一,http://47.242.38.45:9999/twjd678-1.php?id=63
博斯运动一,http://47.242.38.45:9999/twjd678-2.php?id=114
博斯运动一,http://47.242.38.45:9999/twjd678-2.php?id=43
卫视中文,http://47.242.38.45:9999/twjd678-2.php?id=133
卫视中文,http://47.242.38.45:9999/twjd678-2.php?id=46
卫视中文HD,http://47.242.38.45:9999/twjd678-1.php?id=22
卫视中文HD,http://47.242.38.45:9999/twjd678-2.php?id=26
卫视中文HD,http://47.242.38.45:9999/twjd678-2.php?id=73
卫视电影,http://47.242.38.45:9999/twjd678-2.php?id=10
卫视电影,http://47.242.38.45:9999/twjd678-2.php?id=134
卫视电影HD,http://47.242.38.45:9999/twjd678-1.php?id=52
卫视电影HD,http://47.242.38.45:9999/twjd678-2.php?id=103
卫视电影HD,http://47.242.38.45:9999/twjd678-2.php?id=38
厦门卫视,http://47.242.38.45:9999/twjd678-2.php?id=118
台视HD,http://47.242.38.45:9999/twjd678-1.php?id=1
台视HD,http://47.242.38.45:9999/twjd678-2.php?id=14
台视HD,http://47.242.38.45:9999/twjd678-2.php?id=52
国家地理,http://47.242.38.45:9999/twjd678-2.php?id=132
国家地理,http://47.242.38.45:9999/twjd678-2.php?id=9
国家地理HD,http://47.242.38.45:9999/twjd678-1.php?id=9
国家地理HD,http://47.242.38.45:9999/twjd678-2.php?id=16
国家地理HD,http://47.242.38.45:9999/twjd678-2.php?id=53
壹新闻,http://47.242.38.45:9999/twjd678-1.php?id=49
壹新闻,http://47.242.38.45:9999/twjd678-2.php?id=100
壹新闻,http://47.242.38.45:9999/twjd678-2.php?id=35
大爱电视,http://47.242.38.45:9999/twjd678-1.php?id=7
大爱电视,http://47.242.38.45:9999/twjd678-2.php?id=15
大爱电视,http://47.242.38.45:9999/twjd678-2.php?id=59
好消息GOOD TV,http://47.242.38.45:9999/twjd678-1.php?id=8
好消息频道,http://47.242.38.45:9999/twjd678-2.php?id=60
好莱坞电影HD,http://47.242.38.45:9999/twjd678-1.php?id=53
好莱坞电影HD,http://47.242.38.45:9999/twjd678-2.php?id=104
宠物频道,http://47.242.38.45:9999/twjd678-2.php?id=51
寰宇新闻,http://47.242.38.45:9999/twjd678-1.php?id=48
寰宇新闻,http://47.242.38.45:9999/twjd678-2.php?id=34
寰宇新闻,http://47.242.38.45:9999/twjd678-2.php?id=99
尼克儿童频道,http://47.242.38.45:9999/twjd678-2.php?id=47
年代新闻,http://47.242.38.45:9999/twjd678-1.php?id=38
年代新闻,http://47.242.38.45:9999/twjd678-2.php?id=29
年代新闻,http://47.242.38.45:9999/twjd678-2.php?id=89
年代新闻台,http://47.242.38.45:9999/twjd678-2.php?id=12
旅游生活,http://47.242.38.45:9999/twjd678-1.php?id=11
旅游生活,http://47.242.38.45:9999/twjd678-2.php?id=18
旅游生活,http://47.242.38.45:9999/twjd678-2.php?id=62
民视HD,http://47.242.38.45:9999/twjd678-1.php?id=4
民视HD,http://47.242.38.45:9999/twjd678-2.php?id=56
民视新闻,http://47.242.38.45:9999/twjd678-1.php?id=41
民视新闻,http://47.242.38.45:9999/twjd678-2.php?id=92
海峡卫视,http://47.242.38.45:9999/twjd678-2.php?id=120
纬来体育HD,http://47.242.38.45:9999/twjd678-1.php?id=62
纬来体育HD,http://47.242.38.45:9999/twjd678-2.php?id=113
纬来体育HD,http://47.242.38.45:9999/twjd678-2.php?id=42
纬来戏剧,http://47.242.38.45:9999/twjd678-1.php?id=32
纬来戏剧,http://47.242.38.45:9999/twjd678-2.php?id=83
纬来日本HD,http://47.242.38.45:9999/twjd678-1.php?id=36
纬来日本HD,http://47.242.38.45:9999/twjd678-2.php?id=87
纬来电影HD,http://47.242.38.45:9999/twjd678-1.php?id=54
纬来电影HD,http://47.242.38.45:9999/twjd678-2.php?id=105
纬来综合HD,http://47.242.38.45:9999/twjd678-1.php?id=17
纬来综合HD,http://47.242.38.45:9999/twjd678-2.php?id=22
纬来综合HD,http://47.242.38.45:9999/twjd678-2.php?id=68
纬来育乐HD,http://47.242.38.45:9999/twjd678-1.php?id=61
纬来育乐HD,http://47.242.38.45:9999/twjd678-2.php?id=112
超视HD,http://47.242.38.45:9999/twjd678-1.php?id=24
超视HD,http://47.242.38.45:9999/twjd678-2.php?id=75
达文西频道,http://47.242.38.45:9999/twjd678-2.php?id=50
非凡商业,http://47.242.38.45:9999/twjd678-1.php?id=46
非凡商业,http://47.242.38.45:9999/twjd678-2.php?id=97
非凡新闻,http://47.242.38.45:9999/twjd678-1.php?id=45
非凡新闻,http://47.242.38.45:9999/twjd678-2.php?id=96
鳯凰卫视中文,http://47.242.38.45:9999/twjd678-1.php?id=68
鳯凰卫视中文,http://47.242.38.45:9999/twjd678-2.php?id=125
鳯凰卫视资讯,http://47.242.38.45:9999/twjd678-1.php?id=67
鳯凰卫视资讯,http://47.242.38.45:9999/twjd678-2.php?id=124
龙华偶像剧,http://47.242.38.45:9999/twjd678-1.php?id=35
龙华偶像剧,http://47.242.38.45:9999/twjd678-2.php?id=86
龙华卡通台,http://47.242.38.45:9999/twjd678-1.php?id=16
龙华卡通台,http://47.242.38.45:9999/twjd678-2.php?id=67
龙华戏剧台,http://47.242.38.45:9999/twjd678-1.php?id=33
龙华戏剧台,http://47.242.38.45:9999/twjd678-2.php?id=84
龙华日韩剧,http://47.242.38.45:9999/twjd678-1.php?id=34
龙华日韩剧,http://47.242.38.45:9999/twjd678-2.php?id=85
龙华电影台,http://47.242.38.45:9999/twjd678-1.php?id=55
龙华电影台,http://47.242.38.45:9999/twjd678-2.php?id=106

